lat,lon,plaats
-48.515625,-27.6056708,1
-48.9990234,-27.7418846,2
-49.6362305,-27.4302897,3
-50.0317383,-27.5667214,4
-50.5810547,-27.4302897,5
-51.4160156,-27.4107857,6
-52.7124023,-27.3132139,7
-53.4155273,-27.000408,8
-53.6572266,-26.470573,9
-54.140625,-26.5099045,10
-54.6020508,-26.8828805,11
-55.0634766,-26.5885271,12
-55.546875,-26.2540097,13
-56.0961914,-26.0370419,14
-56.0083008,-25.403585,15
-56.1621094,-24.826625,16
-56.4477539,-24.6470172,17
-56.4916992,-24.2870269,18
-56.6235352,-23.7652369,19
-56.9970703,-23.4632463,20
-57.6342773,-23.4834007,21
-58.5351562,-23.5237001,22
-59.5678711,-23.4834007,23
-60.6005859,-23.6042618,24
-61.0400391,-24.2068896,25
-61.7211914,-24.7667845,26
-62.5561523,-25.0457922,27
-63.3251953,-25.3638823,28
-64.1601562,-25.344026,29
-64.4677734,-25.0258841,30
-64.9072266,-25.0855989,31
-65.2148437,-24.6869524,32
-65.5444336,-24.4071379,33
-65.9399414,-24.3270765,34
-66.0717773,-23.8456499,35
-66.6870117,-23.6847742,36
-67.0385742,-23.946096,37
-67.5439453,-24.1467536,38
-68.2470703,-24.4271453,39
-68.4667969,-24.6270447,40
-68.7304687,-24.986058,41
-69.9829102,-25.3638823,42
-70.5322266,-25.344026,43